ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,85556
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,109690
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,95736
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,105111
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,80593
24023,Compton--Stanstead,Compton--Stanstead,111088
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,119395
24025,Drummond,Drummond,107967
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,75927
24027,Gatineau,Gatineau,107286
24028,Hochelaga,Hochelaga,108264
24029,Honoré-Mercier,Honoré-Mercier,104578
24030,Hull--Aylmer,Hull--Aylmer,110881
24031,Joliette,Joliette,112418
24032,Jonquière,Jonquière,91073
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,110486
24034,La Prairie,La Prairie,114968
24035,Lac-Saint-Jean,Lac-Saint-Jean,103886
24036,Lac-Saint-Louis,Lac-Saint-Louis,110093
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,107564
24038,Laurentides--Labelle,Laurentides--Labelle,123796
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,116932
24040,Laval--Les Îles,Laval--Les Îles,111784
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,112257
24042,Lévis--Lotbinière,Lévis--Lotbinière,118608
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,115082
24044,Louis-Hébert,Louis-Hébert,111322
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,123123
24046,Manicouagan,Manicouagan,88525
24047,Mégantic--L'Érable,Mégantic--L'Érable,88894
24048,Mirabel,Mirabel,132930
24049,Montarville,Montarville,100515
24050,Montcalm,Montcalm,118746
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,96724
24052,Mount Royal,Mont-Royal,108494
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,105601
24054,Outremont,Outremont,103620
24055,Papineau,Papineau,110813
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,109497
24057,Pontiac,Pontiac,129781
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,123243
24059,Québec,Québec,98772
24060,Repentigny,Repentigny,119204
24061,Richmond--Arthabaska,Richmond--Arthabaska,110651
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,105589
24063,Rivière-du-Nord,Rivière-du-Nord,122654
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,112909
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,104636
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,105086
24067,Saint-Jean,Saint-Jean,114617
24068,Saint-Laurent,Saint-Laurent,102104
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,115553
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,111997
24071,Salaberry--Suroît,Salaberry--Suroît,119351
24072,Shefford,Shefford,115924
24073,Sherbrooke,Sherbrooke,119038
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,129612
24075,Terrebonne,Terrebonne,119944
24076,Trois-Rivières,Trois-Rivières,114064
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,134555
24078,Vimy,Vimy,119926
35001,Ajax,Ajax,126666
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,80310
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,118883
35004,Barrie--Innisfil,Barrie--Innisfil,120378
35005,Barrie--Springwater--Oro-Medonte,Barrie--Springwater--Oro-Medonte,106871
35006,Bay of Quinte,Baie de Quinte,116016
35007,Beaches--East York,Beaches--East York,109359
35008,Brampton Centre,Brampton-Centre,104557
35009,Brampton East,Brampton-Est,131677
35010,Brampton North,Brampton-Nord,125141
35011,Brampton South,Brampton-Sud,132752
35012,Brampton West,Brampton-Ouest,162353
35013,Brantford--Brant,Brantford--Brant,140139
35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,113348
35015,Burlington,Burlington,125435
35016,Cambridge,Cambridge,121301
35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington,113654
35018,Davenport,Davenport,105946
35019,Don Valley East,Don Valley-Est,95039
35020,Don Valley North,Don Valley-Nord,113663
35021,Don Valley West,Don Valley-Ouest,101959
35022,Dufferin--Caledon,Dufferin--Caledon,142838
35023,Durham,Durham,150235
35024,Eglinton--Lawrence,Eglinton--Lawrence,115832
35025,Elgin--Middlesex--London,Elgin--Middlesex--London,126428
35026,Essex,Essex,134656
35027,Etobicoke Centre,Etobicoke-Centre,118483
35028,Etobicoke--Lakeshore,Etobicoke--Lakeshore,141751
35029,Etobicoke North,Etobicoke-Nord,116003
35030,Flamborough--Glanbrook,Flamborough--Glanbrook,125692
35031,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,116463
35032,Guelph,Guelph,143740
35033,Haldimand--Norfolk,Haldimand--Norfolk,116706
35034,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,122401
35035,Hamilton Centre,Hamilton-Centre,106439
35036,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,112028
35037,Hamilton Mountain,Hamilton Mountain,107629
35038,Hamilton West--Ancaster--Dundas,Hamilton-Ouest--Ancaster--Dundas,117565
35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington,100636
35040,Huron--Bruce,Huron--Bruce,112929
35041,Kanata--Carleton,Kanata--Carleton,116651
35042,Kenora,Kenora,64261
35043,King--Vaughan,King--Vaughan,147695
35044,Kingston and the Islands,Kingston et les Îles,126106
35045,Kitchener Centre,Kitchener-Centre,113452
35046,Kitchener--Conestoga,Kitchener--Conestoga,107134
35047,Kitchener South--Hespeler,Kitchener-Sud--Hespeler,119851
35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,111242
35049,Lanark--Frontenac--Kingston,Lanark--Frontenac--Kingston,111424
